"Code2";"Nombre";"Family";"Source";"Nativa"
"012";"Malus sylvestris";"Rosaceae";"Flora Europaea";"SI"
"013";"Celtis australis";"Ulmaceae";"Flora Europaea";"SI"
"014";"Taxus baccata";"Taxaceae";"Flora Europaea";"SI"
"015";"Crataegus spp.";"Rosaceae";"Flora Europaea";"SI"
"016";"Pyrus spp.";"Rosaceae";"Flora Europaea";"SI"
"017";"Cedrus atlantica";"Pinaceae";"Flora Europaea";"NO"
"018";"Chamaecyparis lawsoniana";"Cupressaceae";"Flora Europaea";"NO"
"007";"Acacia melanoxylon";"Leguminosae";"Flora Europaea";"NO"
"021";"Pinus sylvestris";"Pinaceae";"Flora Europaea";"SI"
"015";"Crataegus monogyna";"Rosaceae";"Flora Europaea";"SI"
"022";"Pinus uncinata";"Pinaceae";"Flora Europaea";"SI"
"023";"Pinus pinea";"Pinaceae";"Flora Europaea";"SI"
"035";"Larix decidua";"Pinaceae";"Flora Europaea";"NO"
"036";"Cupressus arizonica";"Cupressaceae";"Flora Europaea";"NO"
"037";"Juniperus oxycedrus";"Cupressaceae";"Flora Europaea";"SI"
"024";"Pinus halepensis";"Pinaceae";"Flora Europaea";"SI"
"043";"Quercus pubescens (Q. Humilis)";"Fagaceae";"Flora Europaea";"SI"
"025";"Pinus nigra";"Pinaceae";"Flora Europaea";"SI"
"055";"Fraxinus excelsior";"Oleaceae";"Flora Europaea";"SI"
"056";"Ulmus glabra";"Ulmaceae";"Flora Europaea";"SI"
"057";"Salix alba";"Salicaceae";"Flora Europaea";"SI"
" NA";"Populus x canadensis";"Salicaceae";"Flora Europaea";"SI"
"026";"Pinus pinaster";"Pinaceae";"Flora Europaea";"SI"
"064";"Eucalyptus viminalis";"Myrtaceae";"Flora Europaea";"NO"
"073";"Betula alba";"Betulaceae";NA;"SI"
"076";"Acer monspessulanum";"Aceraceae";"Flora Europaea";"SI"
"077";"Tilia cordata";"Tiliaceae";"Flora Europaea";"SI"
"078";"Sorbus aria";"Rosaceae";"Flora Europaea";"SI"
"028";"Pinus radiata";"Pinaceae";"Flora Europaea";"NO"
" NA";"Ficus carica";"Moraceae";"Flora Europaea";"SI"
"003";"Frangula alnus";"Rhamnaceae";"Flora Europaea";"SI"
"007";"Acacia dealbata";"Leguminosae";"Flora Europaea";"NO"
"031";"Abies alba";"Pinaceae";"Flora Europaea";"SI"
"033";"Picea abies";"Pinaceae";"Flora Europaea";"NO"
"034";"Pseudotsuga menziesii";"Pinaceae";"Flora Europaea";"NO"
"035";"Larix spp.";"Pinaceae";"Flora Europaea";"NO"
"056";"Ulmus pumila";"Ulmaceae";"IPNI";"SI"
"057";"Salix atrocinerea";"Salicaceae";"Flora Europaea";"SI"
"036";"Cupressus sempervirens";"Cupressaceae";"Flora Europaea";"NO"
"064";"Eucalyptus gomphocephalus";"Myrtaceae";"Flora Europaea";"NO"
"037";"Juniperus communis";"Cupressaceae";"Flora Europaea";"SI"
"073";"Betula pendula";"Betulaceae";"Flora Europaea";"SI"
"076";"Acer negundo";"Aceraceae";"Flora Europaea";"SI"
"077";"Tilia platyphyllos";"Tiliaceae";"Flora Europaea";"SI"
"078";"Sorbus aucuparia";"Rosaceae";"Flora Europaea";"SI"
"038";"Juniperus thurifera";"Cupressaceae";"Flora Europaea";"SI"
"039";"Juniperus phoenicea";"Cupressaceae";"Flora Europaea";"SI"
"095";"Prunus avium";"Rosaceae";"Flora Europaea";"SI"
"004";"Rhamnus alaternus";"Rhamnaceae";"Flora Europaea";"SI"
"041";"Quercus robur";"Fagaceae";"Flora Europaea";"SI"
"042";"Quercus petraea";"Fagaceae";"Flora Europaea";"SI"
"043";"Quercus pyrenaica";"Fagaceae";"Flora Europaea";"SI"
"044";"Quercus faginea";"Fagaceae";"Flora Europaea";"SI"
"045";"Quercus ilex";"Fagaceae";"Flora Europaea";"SI"
"057";"Salix babylonica";"Salicaceae";"Flora Europaea";"SI"
"046";"Quercus suber";"Fagaceae";"Flora Europaea";"SI"
"047";"Quercus canariensis";"Fagaceae";"Flora Europaea";"SI"
"076";"Acer opalus";"Aceraceae";"Flora Europaea";"SI"
"048";"Quercus rubra";"Fagaceae";"Flora Europaea";"NO"
"051";"Populus alba";"Salicaceae";"Flora Europaea";"SI"
"052";"Populus tremula";"Salicaceae";"Flora Europaea";"SI"
"053";"Tamarix spp.";"Tamaricaceae";"Flora Europaea";"SI"
"054";"Alnus glutinosa";"Betulaceae";"Flora Europaea";"SI"
"055";"Fraxinus angustifolia";"Oleaceae";"Flora Europaea";"SI"
"056";"Ulmus minor";"Ulmaceae";"Flora Europaea";"SI"
"057";"Salix spp.";"Salicaceae";"Flora Europaea";"SI"
"076";"Acer pseudoplatanus";"Aceraceae";"Flora Europaea";"SI"
"078";"Sorbus torminalis";"Rosaceae";"Flora Europaea";"SI"
"058";"Populus nigra";"Salicaceae";"Flora Europaea";"SI"
"061";"Eucalyptus globulus";"Myrtaceae";"Flora Europaea";"NO"
"062";"Eucalyptus camaldulensis";"Myrtaceae";"Flora Europaea";"NO"
"063";"Otros eucaliptos";"SF";"Flora Europaea";"NO"
"064";"Eucalyptus nitens";"Myrtaceae";"World check list";"NO"
"065";"Ilex aquifolium";"Aquifoliaceae";"Flora Europaea";"SI"
"057";"Salix caprea";"Salicaceae";"Flora Europaea";"SI"
"066";"Olea europaea";"Oleaceae";"Flora Europaea";"SI"
"076";"Acer platanoides";"Aceraceae";"Flora Europaea";"SI"
"068";"Arbutus unedo";"Ericaceae";"Flora Europaea";"SI"
"007";"Acacia spp.";"Leguminosae";"Flora Europaea";"NO"
"071";"Fagus sylvatica";"Fagaceae";"Flora Europaea";"SI"
"072";"Castanea sativa";"Fagaceae";"Flora Europaea";"NO"
"073";"Betula spp.";"Betulaceae";"Flora Europaea";"SI"
"074";"Corylus avellana";"Betulaceae";"Flora Europaea";"SI"
"075";"Juglans regia";"Juglandaceae";"Flora Europaea";"SI"
"057";"Salix elaeagnos";"Salicaceae";"Flora Europaea";"SI"
"076";"Acer campestre";"Aceraceae";"Flora Europaea";"SI"
"077";"Tilia spp.";"Tiliaceae";"Flora Europaea";"SI"
"078";"Sorbus spp.";"Rosaceae";"Flora Europaea";"SI"
"079";"Platanus hispanica";"Platanaceae";"IPNI";"NO"
"008";"Phillyrea latifolia";"Oleaceae";"Flora Europaea";"SI"
"091";"Buxus sempervirens";"Buxaceae";"Flora Europaea";"SI"
"092";"Robinia pseudacacia";"Leguminosae";"Flora Europaea";"NO"
"094";"Laurus nobilis";"Lauraceae";"Flora Europaea";"SI"
"095";"Prunus spp.";"Rosaceae";"Flora Europaea";"SI"
"097";"Sambucus nigra";"Caprifoliaceae";"Flora Europaea";"SI"
"099";"Otras frondosas";"SF";NA;"SI"
